Track ID,Start Time,End Time
1,2025-05-04 17:05:20,2025-05-04 17:05:25
2,2025-05-04 17:05:56,2025-05-04 17:07:11
4,2025-05-04 17:07:30,2025-05-04 17:07:31
3,2025-05-04 17:07:08,2025-05-04 17:07:35
6,2025-05-04 17:07:39,2025-05-04 17:07:39
5,2025-05-04 17:07:35,2025-05-04 17:07:58
7,2025-05-04 17:07:58,2025-05-04 17:08:10
8,2025-05-04 17:08:12,2025-05-04 17:08:30
10,2025-05-04 17:08:58,2025-05-04 17:08:58
11,2025-05-04 17:09:05,2025-05-04 17:09:05
9,2025-05-04 17:08:32,2025-05-04 17:09:05
13,2025-05-04 17:09:09,2025-05-04 17:09:10
12,2025-05-04 17:09:06,2025-05-04 17:09:10
15,2025-05-04 17:09:11,2025-05-04 17:09:13
16,2025-05-04 17:09:17,2025-05-04 17:09:22
18,2025-05-04 17:09:22,2025-05-04 17:09:23
14,2025-05-04 17:09:11,2025-05-04 17:09:23
17,2025-05-04 17:09:22,2025-05-04 17:09:26
19,2025-05-04 17:09:24,2025-05-04 17:09:26
20,2025-05-04 17:09:28,2025-05-04 17:09:29
22,2025-05-04 17:09:29,2025-05-04 17:09:30
23,2025-05-04 17:09:31,2025-05-04 17:09:32
24,2025-05-04 17:09:38,2025-05-04 17:09:43
25,2025-05-04 17:09:46,2025-05-04 17:09:49
26,2025-05-04 17:09:53,2025-05-04 17:09:54
21,2025-05-04 17:09:29,2025-05-04 17:09:54
27,2025-05-04 17:09:54,2025-05-04 17:09:55
28,2025-05-04 17:09:55,2025-05-04 17:09:56
29,2025-05-04 17:09:55,2025-05-04 17:10:00
31,2025-05-04 17:10:01,2025-05-04 17:10:06
32,2025-05-04 17:10:07,2025-05-04 17:10:09
30,2025-05-04 17:09:55,2025-05-04 17:10:09
34,2025-05-04 17:10:14,2025-05-04 17:10:15
33,2025-05-04 17:10:13,2025-05-04 17:10:16
35,2025-05-04 17:10:15,2025-05-04 17:10:17
37,2025-05-04 17:10:17,2025-05-04 17:10:18
36,2025-05-04 17:10:16,2025-05-04 17:10:18
40,2025-05-04 17:10:19,2025-05-04 17:10:23
39,2025-05-04 17:10:19,2025-05-04 17:10:23
41,2025-05-04 17:10:25,2025-05-04 17:10:25
42,2025-05-04 17:10:25,2025-05-04 17:10:26
38,2025-05-04 17:10:19,2025-05-04 17:10:30
44,2025-05-04 17:10:30,2025-05-04 17:10:31
45,2025-05-04 17:10:31,2025-05-04 17:10:32
46,2025-05-04 17:10:34,2025-05-04 17:10:36
47,2025-05-04 17:10:38,2025-05-04 17:10:40
48,2025-05-04 17:10:41,2025-05-04 17:10:42
49,2025-05-04 17:10:42,2025-05-04 17:10:44
43,2025-05-04 17:10:28,2025-05-04 17:10:44
49,2025-05-04 17:10:44,2025-05-04 17:10:44
50,2025-05-04 17:10:48,2025-05-04 17:11:02
52,2025-05-04 17:11:11,2025-05-04 17:11:13
